route_id,directions
54,"Northbound,Southbound"
6,"Northbound,Southbound"
57,"Northbound,Southbound"
135,"Northbound,Southbound"
84,"Eastbound,Westbound"
54A,"Northbound,Southbound"
100,"Eastbound,Westbound"
J14,"Northbound,Southbound"
86,"Northbound,Southbound"
81W,"Eastbound,Westbound"
112,"Eastbound,Westbound"
70,"Eastbound,Westbound"
85,"Northbound,Southbound"
165,"Eastbound,Westbound"
157,"Eastbound,Westbound"
49B,"Northbound,Southbound"
51,"Eastbound,Westbound"
134,"Northbound,Southbound"
171,"Northbound,Southbound"
20,"Eastbound,Westbound"
49,"Northbound,Southbound"
97,"Eastbound,Westbound"
92,"Eastbound,Westbound"
34,"Northbound,Southbound"
55N,"Eastbound,Westbound"
94,"Northbound,Southbound"
48,"Northbound,Southbound"
18,"Eastbound,Westbound"
43,"Eastbound,Westbound"
152,"Eastbound,Westbound"
172,"Northbound,Southbound"
120,"Northbound,Southbound"
72,"Eastbound,Westbound"
28,"Northbound,Southbound"
76,"Eastbound,Westbound"
156,"Northbound,Southbound"
29,"Northbound,Southbound"
66,"Eastbound,Westbound"
4,"Northbound,Southbound"
68,"Eastbound,Westbound"
67,"Eastbound,Westbound"
53,"Northbound,Southbound"
146,"Northbound,Southbound"
119,"Northbound,Southbound"
108,"Northbound,Southbound"
31,"Eastbound,Westbound"
63,"Eastbound,Westbound"
147,"Northbound,Southbound"
24,"Northbound,Southbound"
26,"Northbound,Southbound"
30,"Northbound,Southbound"
65,"Eastbound,Westbound"
206,"Eastbound,Westbound"
5,"Eastbound,Westbound"
15,"Northbound,Southbound"
143,"Northbound,Southbound"
54B,"Northbound,Southbound"
124,"Eastbound,Westbound"
52A,"Northbound,Southbound"
22,"Northbound,Southbound"
9,"Northbound,Southbound"
62H,"Eastbound,Westbound"
35,"Eastbound,Westbound"
37,"Northbound,Southbound"
169,"Eastbound,Westbound"
90,"Northbound,Southbound"
85A,"Northbound,Southbound"
1,"Northbound,Southbound"
3,"Northbound,Southbound"
59,"Eastbound,Westbound"
21,"Eastbound,Westbound"
X49,"Northbound,Southbound"
155,"Eastbound,Westbound"
55,"Eastbound,Westbound"
55A,"Eastbound,Westbound"
91,"Northbound,Southbound"
7,"Eastbound,Westbound"
47,"Eastbound,Westbound"
126,"Eastbound,Westbound"
52,"Northbound,Southbound"
71,"Northbound,Southbound"
8A,"Northbound,Southbound"
12,"Eastbound,Westbound"
192,"Northbound,Southbound"
148,"Northbound,Southbound"
39,"Eastbound,Westbound"
151,"Northbound,Southbound"
81,"Eastbound,Westbound"
73,"Eastbound,Westbound"
82,"Northbound,Southbound"
87,"Eastbound,Westbound"
111,"Northbound,Southbound"
50,"Northbound,Southbound"
115,"Northbound,Southbound"
44,"Northbound,Southbound"
8,"Northbound,Southbound"
79,"Eastbound,Westbound"
121,"Northbound,Southbound"
77,"Eastbound,Westbound"
63W,"Eastbound,Westbound"
95,"Eastbound,Westbound"
75,"Eastbound,Westbound"
78,"Eastbound,Westbound"
74,"Eastbound,Westbound"
X9,"Northbound,Southbound"
62,"Northbound,Southbound"
11,"Northbound,Southbound"
56,"Northbound,Southbound"
93,"Northbound,Southbound"
103,"Eastbound,Westbound"
X98,Southbound
53A,"Northbound,Southbound"
80,"Eastbound,Westbound"
125,"Northbound,Southbound"
2,"Northbound,Southbound"
136,"Northbound,Southbound"
201,"Eastbound,Westbound"
96,"Eastbound,Westbound"
111A,"Northbound,Southbound"
36,"Northbound,Southbound"
106,"Eastbound,Westbound"
60,"Eastbound,Westbound"
88,"Eastbound,Westbound"
